iata_code,icao_code,airline,call_sign,country_region
KR,CWK,Comores Airlines,CONTICOM,Comoros
GJ,MXC,Compania Mexicargo,MEXICARGO,Mexico
CP,CPZ,Compass Airlines,COMPASS ROSE,United States
DE,CFG,Condor Flugdienst,CONDOR,Germany
CO,COA,Continental Airlines,CONTINENTAL,United States
CO,"",Continental Express,JETLINK,United States
CS,CMI,Continental Micronesia,AIR MIKE,United States
V0,VCV,Conviasa,CONVIASA,Venezuela
CM,CMP,Copa Airlines,COPA,Panama
CQ,CCW,Central Charter,CENTRAL CHARTER,Czech Republic
XC,CAI,Corendon Airlines,CORENDON,Turkey
CD,CND,Corendon Dutch Airlines,DUTCH CORENDON,Netherlands
LF,VTE,Contour Airlines,VOLUNTEER,United States
SS,CRL,Corsairfly,CORSAIR,France
XK,CCM,Corse Méditerranée,CORSICA,France
F5,COZ,Cosmic Air,COSMIC AIR,Nepal
"7C",COY,Coyne Aviation,COYNE AIR,United Kingdom
OU,CTN,Croatia Airlines,CROATIA,Croatia
QE,ECC,Crossair Europe,Cigogne,Switzerland
CU,CUB,Cubana de Aviación,CUBANA,Cuba
CY,CYP,Cyprus Airways,CYPRUS,Cyprus
YK,KYV,Cyprus Turkish Airlines,AIRKIBRIS,Turkey
OK,CSA,Czech Airlines,CSA,Czech Republic
"8L",CGP,Cargo Plus Aviation,"",United Arab Emirates
GJ,CDC,CDI Cargo Airlines,HUALONG,China
"5Z",KEM,CemAir,CEMAIR,South Africa
XG,CLI,Clickair,CLICKJET,Spain
PN,CHB,West Air (China),WEST CHINA,China
V5,VPA,DanubeWings,VIP TAXI,Slovakia
WD,DSR,DAS Air Cargo,DAIRAIR,Uganda
DX,DTR,DAT Danish Air Transport,DANISH,Denmark
D0,DHK,DHL Air Limited,WORLD EXPRESS,United Kingdom
ES,DHX,DHL International,DILMUN,Bahrain
L3,JOS,DHL de Guatemala,"",Guatemala
D3,DAO,Daallo Airlines,DALO AIRLINES,Djibouti
N2,DAG,Dagestan Airlines,DAGAL,Russia
H8,KHB,Dalavia,DALAVIA,Russia
DD,DDL,Danish Air Lines,"",Denmark
"0D",DWT,Darwin Airline,DARWIN,Switzerland
D5,DAU,Dauair,DAUAIR,Germany
DL,DAL,Delta Air Lines,DELTA,United States
J7,DNM,Denim Air,DENIM,Netherlands
"2A","",Deutsche Bahn,"",Germany
"1I",AMB,Deutsche Rettungsflugwacht,CIVIL AIR AMBULANCE,Germany
AW,DIR,Dirgantara Air Service,DIRGANTARA,Indonesia
DH,DVA,Discovery Airways,DISCOVERY AIRWAYS,United States
Z6,UDN,Dniproavia,DNIEPRO,Ukraine
YU,ADM,Dominair,DOMINAIR,Dominican Republic
DO,DOA,Dominicana de Aviación,DOMINICANA,Dominican Republic
E3,DMO,Domodedovo Airlines,DOMODEDOVO,Russia
D9,DNV,Donavia,DONAVIA,Russia
"5D",UDC,DonbassAero,DONBASS AERO,Ukraine
KB,DRK,Druk Air,ROYAL BHUTAN,Bhutan
DI,BAG,Dba,SPEEDWAY,Germany
MQ,ENY,Envoy Air,ENVOY,United States
EL,ELB,Ellinair,ELLINAIR HELLAS,Greece
"9E",EDV,Endeavor Air,ENDEAVOR,United States
"9A",EZX,Eagle Express Air Charter,EAGLEXPRESS,Malaysia
E1,"",Everbread,"",United Kingdom
"1C","",Electronic Data Systems,"",Switzerland
"1Y","",Electronic Data Systems,"",United States
VE,EUJ,EUjet,UNION JET,Ireland
BR,EVA,EVA Air,EVA,Taiwan
EY,EFL,Eagle Air,FLYING EAGLE,Tanzania
H7,EGU,Eagle Air,AFRICAN EAGLE,Uganda
NZ,EAG,Eagle Airways,EAGLE,New Zealand
QU,UTN,UTair-Ukraine,UT Ukraine,Ukraine
S9,HSA,East African Safari Air,DUMA,Kenya
ZE,ESR,Eastar Jet,EASTAR,South Korea
EA,EAL,Eastern Air Lines,EASTERN,United States
T3,EZE,Eastern Airways,EASTFLIGHT,United Kingdom
QF,EAQ,Eastern Australia Airlines,EASTERN,Australia
DK,ELA,Eastland Air,"",Australia
W9,SGR,Eastwind Airlines,STINGER,United States
WK,EDW,Edelweiss Air,EDELWEISS,Switzerland
MS,MSR,Egyptair,EGYPTAIR,Egypt
LY,ELY,El Al Israel Airlines,ELAL,Israel
UZ,BRQ,El-Buraq Air Transport,BURAQAIR,Libya
EK,UAE,Emirates Airlines,EMIRATES,United Arab Emirates
EM,CFS,Empire Airlines,EMPIRE AIR,United States
EU,EEA,Empresa Ecuatoriana De Aviación,ECUATORIANA,Ecuador
G8,ENK,Enkor JSC,ENKOR,Russia
OF,ENT,Enter Air,ENTER,Poland
E0,ESS,Eos Airlines,NEW DAWN,United States
B8,ERT,Eritrean Airlines,ERITREAN,Eritrea
E7,ESF,Estafeta Carga Aérea,"",Mexico
OV,ELL,Estonian Air,ESTONIAN,Estonia
ET,ETH,Ethiopian Airlines,ETHIOPIAN,Ethiopia
EY,ETD,Etihad Airways,ETIHAD,United Arab Emirates
RZ,"",Euro Exec Express,"",Sweden
MM,MMZ,EuroAtlantic Airways,EUROATLANTIC,Portugal
UI,ECA,Eurocypria Airlines,EUROCYPRIA,Cyprus
GJ,EEZ,Eurofly,E-FLY,Italy
K2,ELO,Eurolot,EUROLOT,Poland
"3W",EMX,Euromanx Airways,EUROMANX,Austria
"5O",FPO,Europe Airpost,FRENCH POST,France
EA,EAL,European Air Express,STAR WING,Germany
QY,BCS,European Air Transport,EUROTRANS,Belgium
E7,EAF,European Aviation Air Charter,EUROCHARTER,United Kingdom
EW,EWG,Eurowings,EUROWINGS,Germany
E2,EWE,Eurowings Europe,EUROWINGS,Austria
EZ,EIA,Evergreen International Airlines,EVERGREEN,United States
ZD,EWR,Ewa Air,MAYOTTE AIR,France
JN,XLA,Excel Airways,EXPO,United Kingdom
MB,EXA,Execair Aviation,CANADIAN EXECAIRE,Canada
OW,EXK,Executive Airlines,EXECUTIVE EAGLE,United States
EO,LHN,Express One International,LONGHORN,United States
EV,ASQ,ExpressJet,ACEY,United States
U2,EZY,easyJet UK,EASY,United Kingdom
DS,EZS,easyJet Switzerland,TOPSWISS,Switzerland
EC,EJU,easyJet Europe,ALPINE,Austria
IH,"",Falcon Aviation,"",Sweden
FE,FEA,Far Eastern Air Transport,Far Eastern,Taiwan
FD,"",Royal Flying Doctor Service,FLYDOC,Australia
F6,RCK,FaroeJet,ROCKROSE,Faroe Islands
F3,FSW,Faso Airways,FASO,Burkina Faso
FX,FDX,FedEx Express,FEDEX,United States
N8,HGK,Fika Salaama Airlines,SALAAMA,Uganda
"4S",FNC,Finalair Congo,FINALAIR CONGO,Republic of the Congo
AY,FIN,Finnair,FINNAIR,Finland
FC,WBA,Finncomm Airlines,WESTBIRD,Finland
FY,FFM,Firefly,FIREFLY,Malaysia
"7F",FAB,First Air,FIRST AIR,Canada
DP,FCA,First Choice Airways,JETSET,United Kingdom
"8F",FFR,Fischer Air,FISCHER,Czech Republic
"8D",EXV,FitsAir,EXPOAVIA,Sri Lanka
B5,FLT,Flightline,FLIGHTLINE,United Kingdom
PA,FCL,Florida Coastal Airlines,FLORIDA COASTAL,United States
RF,FWL,Florida West International Airways,FLO WEST,United States
"8W",EDR,Fly All Ways,BIRDVIEW,Suriname
F2,FLM,Fly Air,FLY WORLD,Turkey
OJ,FJM,Fly Jamaica Airways,GREENHEART,Jamaica
SH,FLY,Fly Me Sweden,FLYBIRD,Sweden
D7,XFA,FlyAsianXpress,FAX AIR,Malaysia
FO,FBZ,Flybondi,BONDI,Argentina
TE,LIL,FlyLal,LITHUANIA AIR,Lithuania
LF,NDC,FlyNordic,NORDIC,Sweden
F7,BBO,Flybaboo,BABOO,Switzerland
BE,BEE,Flybe,JERSEY,United Kingdom
Y2,GSM,Flyglobespan,GLOBESPAN,United Kingdom
W3,FYH,Flyhy Cargo Airlines,FLY HIGH,Thailand
FP,FRE,FlyPelican,PELICAN,Australia
VY,FOS,Formosa Airlines,"",Taiwan
BN,"",Forward Air International Airlines,"",United States
"5F",FIA,Fly One,Fly One,Moldova
HK,FSC,Four Star Aviation / Four Star Cargo,FOUR STAR,United States
FH,FHY,Freebird Airlines,FREEBIRD AIR,Turkey
SJ,FOM,Freedom Air,FREE AIR,New Zealand
FP,FRE,Freedom Air,FREEDOM,United States
F9,FFT,Frontier Airlines,FRONTIER FLIGHT,United States
"2F",FTA,Frontier Flying Service,FRONTIER-AIR,United States
FH,FUA,Futura International Airways,FUTURA,Spain
FZ,FDB,Flydubai,SKYDUBAI,UAE
"9Y",FGE,Fly Georgia,GEORGIA WING,Georgia
VK,FVK,FlyViking,BALDER,Norway
FT,FEG,FlyEgypt,SKY EGYPT,Egypt
GL,GRL,Air Greenland,GREENLAND,"Greenland
 Denmark"
GX,GBC,Guangxi Beibu Gulf Airlines,SPRAY,China
Y5,GMR,Golden Myanmar Airlines,GOLDEN MYANMAR,Myanmar
GT,GBL,GB Airways,GEEBEE AIRWAYS,United Kingdom
Z5,GMG,GMG Airlines,GMG,Bangladesh
"7O",GAL,Galaxy Air,GALAXY,Kyrgyzstan
"1G","",Galileo International,"",United States
GC,GNR,Gambia International Airlines,GAMBIA INTERNATIONAL,Gambia
G7,GNF,Gandalf Airlines,Gandalf,Italy
GA,GIA,Garuda Indonesia,INDONESIA,Indonesia
"4G",GZP,Gazpromavia,GAZPROMAVIA,Russia
GR,GCO,Gemini Air Cargo,GEMINI,United States
A9,TGZ,Georgian Airways,TAMAZI,Georgia
QB,GFG,Georgian National Airlines,NATIONAL,Georgia
HE,LGW,German Airways,WALTER,Germany
ST,GMI,Germania,GERMANIA,Germany
"4U",GWI,Germanwings,GERMAN WINGS,Germany
GP,RIV,APG Airlines,RIVERA,France
GH,GLP,Globus Airlines,GLOBUS,Russia
GH,GHA,Ghana Airways,GHANA,Ghana
G0,GHB,Ghana International Airlines,GHANA AIRLINES,Ghana
G8,GOW,GoAir,GOAIR,India
GK,"",Go One Airways,"",United Kingdom
G7,GJS,GoJet Airlines,LINDBERGH,United States
G3,GLO,Gol Transportes Aéreos,GOL TRANSPORTE,Brazil
DC,GAO,Golden Air,GOLDEN,Sweden
"5Z",GON,Gonini Air Services,GONINI,Suriname
G1,"",Gorkha Airlines,GORKHA AIRLINES,Nepal
GV,GUN,Grant Aviation,HOOT,United States
ZK,GLA,Great Lakes Airlines,LAKES AIR,United States
IJ,GWL,Great Wall Airlines,GREAT WALL,China
G6,BSR,Guine Bissaur Airlines,BISSAU AIRLINES,Guinea-Bissau
J9,GIF,Guinee Airlines,GUINEE AIRLINES,Guinea
G8,GUJ,Gujarat Airways,GUJARATAIR,India
GF,GFA,Gulf Air,GULF AIR,Bahrain
GY,"",Guyana Airways 2000,"",""
"3S",GUY,Air Guyane Express,GREEN BIRD,French Guyana
GW,"",Costa Rica Green Airways,"",Costa Rica
MR,MML,Hunnu Air,TRANS MONGOLIA,Mongolia
A5,HOP,Hop!,AIR HOP,France
H6,HAG,Hageland Aviation Services,HAGELAND,United States
HR,HHN,Hahn Air,ROOSTER,Germany
H1,"",Hahn Air Systems,"",Germany
HU,CHH,Hainan Airlines,HAINAN,China
"1R","",Hainan Phoenix Information Systems,"",China
"2T",HAM,Haiti Ambassador Airlines,"",Haiti
"4R",HHI,Hamburg International,HAMBURG JET,Germany
X3,HLX,Hapag-Lloyd Express (TUIfly),YELLOW CAB,Germany
HF,HLF,Hapagfly,HAPAG LLOYD,Germany
HB,HAR,Harbor Airlines,HARBOR,United States
HQ,HMY,Harmony Airways,HARMONY,Canada
HA,HAL,Hawaiian Airlines,HAWAIIAN,United States
HP,"",Hawaiian Pacific Airlines,"",United States
BH,"",Hawkair,"",Canada
HN,HVY,Heavylift Cargo Airlines,HEAVY CARGO,Australia
JB,JBA,Helijet,HELIJET,Canada
ZU,HCY,Helios Airways,HELIOS,Cyprus
"9I",HTA,Helitrans,SCANBIRD,Norway
HJ,HEJ,Hellas Jet,HELLAS JET,Greece
HW,FHE,Hello,FLYHELLO,Switzerland
"2L",OAW,Helvetic Airways,HELVETIC,Switzerland
EO,ALX,Hewa Bora Airways,ALLCONGO,Democratic Republic of the Congo
UD,HER,Hex'Air,HEX AIRLINE,France
"5K",HFY,Hi Fly,SKY FLYER,Portugal
H9,HIM,Himalaya Airlines,HIMALAYA,Nepal
H5,HOA,Hola Airlines,HOLA,Spain
HC,HCC,Holidays Czech Airlines,CZECH HOLIDAYS,Czech Republic
HX,CRK,Hong Kong Airlines,BAUHINIA,Hong Kong
RH,HKC,Hong Kong Air Cargo,MASCOT,Hong Kong
UO,HKE,Hong Kong Express Airways,HONGKONG SHUTTLE,Hong Kong
A6,HTU,Hongtu Airlines,HONGLAND,China
HH,"",Hope Air,HOPE AIR,Canada
QX,QXE,Horizon Air,HORIZON AIR,United States
BN,HZA,Horizon Airlines,HORIZON,Australia
H4,"",Héli Sécurité Helicopter Airlines,"",France
I4,EXP,Island Air Express,ISLAND EXPRESS,United States
IK,KAR,Ikar,IKAR,Russian Federation
II,CSQ,IBC Airways,CHASQUI,United States
"0C",IBL,IBL Aviation,CATOVAIR,Mauritius
C3,IPR,Independent Carrier (ICAR),ICAR,Ukraine
"1F","",INFINI Travel Information,"",Japan
"1U","",ITA Software,"",United States
IB,IBE,Iberia Airlines,IBERIA,Spain
I2,IBS,Iberia Express,IBEREXPRESS,Spain
TY,IWD,Iberworld,IBERWORLD,Spain
FW,IBX,Ibex Airlines,IBEX,Japan
D8,IBK,Norwegian Air International (Norway),NORTRANS,Norway
FI,ICE,Icelandair,ICEAIR,Iceland
V8,IAR,Iliamna Air Taxi,ILIAMNA AIR,United States
DH,IDE,Independence Air,INDEPENDENCE AIR,United States
"6E",IGO,IndiGo Airlines,IFLY,India
IC,IAC,Indian Airlines,INDAIR,India
I9,IBU,Indigo Airlines,INDIGO BLUE,United States
QZ,AWQ,Indonesia AirAsia,WAGON AIR,Indonesia
IO,IAA,Indonesian Airlines,INDO LINES,Indonesia
C4,IMX,Zimex Aviation,ZIMEX,Switzerland
H4,IIN,Inter Island Airways,"",Cape Verde
D6,ILN,Interair South Africa,INLINE,South Africa
ZA,SUW,Interavia Airlines,ASTAIR,Russia
RS,ICT,Intercontinental de Aviación,CONTAVIA,Colombia
"4O",AIJ,Interjet,ABC AEROLINEAS,Mexico
ID,ITK,Interlink Airlines,INTERLINK,South Africa
"6I",IBZ,International Business Air,INTERBIZ,Sweden
"3L",ISK,Intersky,INTERSKY,Austria
I4,FWA,Interstate Airlines,FREEWAYAIR,Netherlands
IR,IRA,Iran Air,IRANAIR,Iran
EP,IRC,Iran Aseman Airlines,ASEMAN,Iran
IA,IAW,Iraqi Airways,IRAQI,Iraq
IH,MZA,Irtysh Air,IRTYSH AIRLINES,Kazakhstan
"2S",SDY,Island Express,SANDY ISLE,United States
CN,"",Islands Nationair,"",Papua New Guinea
IF,ISW,Islas Airways,PINTADERA,Spain
WC,ISV,Islena De Inversiones,"",Honduras
"6H",ISR,Israir,ISRAIR,Israel
FS,ACL,Itali Airlines,SPADA,Italy
GI,IKA,Itek Air,ITEK-AIR,Kyrgyzstan
H9,IZM,Izair,IZMIR,Turkey
HC,"",Iceland Express,"",Iceland
XM,"",J-Air,J AIR,Japan
JC,JEX,JAL Express,JANEX,Japan
JO,JAZ,JALways,JALWAYS,Japan
MT,JMC,JMC Airlines,JAYEMMSEE,United Kingdom
"1M","",JSC Transport Automated Information Systems,"",Russia
JI,JAE,Jade Cargo International,JADE CARGO,China
"3X",JAC,Japan Air Commuter,COMMUTER,Japan
JL,JAL,Japan Airlines,JAPANAIR,Japan
JL,JAL,Japan Airlines Domestic,J-BIRD,Japan
EG,JAA,Japan Asia Airways,ASIA,Japan
NU,JTA,Japan Transocean Air,JAI OCEAN,Japan
JA,JAT,JetSMART,ROCKSMART,Chile
VJ,JTY,Jatayu Airlines,JATAYU,Indonesia
J9,JZR,Jazeera Airways,JAZEERA,Kuwait
"7C",JJA,Jeju Air,JEJU AIR,Republic of Korea
O2,JEA,OLT Express,JETA,Poland
"9W",JAI,Jet Airways,JET AIRWAYS,India
QJ,"",Jet Airways,"",United States
PP,PJS,Jet Aviation,JETAVIATION,Switzerland
"3K",JSA,Jetstar Asia Airways,JETSTAR ASIA,Singapore
LS,EXS,Jet2.com,CHANNEX,United Kingdom
B6,JBU,JetBlue Airways,JETBLUE,United States
JF,JAA,Jet Asia Airways,JET ASIA,Thailand
"0J",JCS,Jetclub,JETCLUB,Switzerland
SG,JGO,JetsGo,JETSGO,Canada
JQ,JST,Jetstar Airways,JETSTAR,Australia
GK,JJP,Jetstar Japan,ORANGE LINER,Japan
JM,JKT,Jetstar Hong Kong Airways,KAITAK,China
JX,JEC,Jett8 Airlines Cargo,TAIPAN,Singapore
JO,JTG,Jettime,JETTIME,Denmark
GX,JXX,JetX Airlines,JETBIRD,Iceland
R5,JAV,Jordan Aviation,JORDAN AVIATION,Jordan
J4,JCI,Jordan International Air Cargo,"",Jordan
"6J",JUB,Jubba Airways,JUBBA,Somalia
HO,DKH,Juneyao Airlines,JUNEYAO AIRLINES,China
"3Q",KCH,KC International Airlines,CAM AIR,Cambodia
KW,KHK,Kharkiv Airlines,SUNRAY,Ukraine
KD,KLS,Kalstar Aviation,KALSTAR,Indonesia
KD,KNI,KD Avia,KALININGRAD AIR,Russia
WA,KLC,KLM Cityhopper,CITY,Netherlands
KL,KLM,KLM,KLM,Netherlands
N2,QNK,Kabo Air,KABO,Nigeria
K4,CKS,Kalitta Air,CONNIE,United States
K9,KFS,Kalitta Charters,KALITTA,United States
CB*,KII,Kalitta Charters II,DRAGSTER,United States
RQ,KMF,Kam Air,KAMGAR,Afghanistan
E2,KMP,Kampuchea Airlines,KAMPUCHEA,Cambodia
V2,AKT,Karat,AVIAKARAT,Russia
KV,MVD,Kavminvodyavia,AIR MINVODY,Russia
KC,KZR,Air Astana,SPAKAZ,Kazakhstan
M5,KEN,Kenmore Air,KENMORE,United States
KQ,KQA,Kenya Airways,KENYA,Kenya
BZ,KEE,Keystone Air Service,KEYSTONE,Canada
K6,KZW,Khalifa Airways,KHALIFA AIR,Algeria
IT,KFR,Kingfisher Airlines,KINGFISHER,India
Y9,IRK,Kish Air,KISHAIR,Iran
KP,KIA,Kiwi International Air Lines,KIWI AIR,United States
"7K",KGL,Kogalymavia Air Company,KOGALYM,Russia
"8J",KMV,Komiinteravia,KOMIINTER,Russia
KE,KAL,Korean Air,KOREANAIR,South Korea
"7B",KJC,Krasnojarsky Airlines,KRASNOJARSKY AIR,Russia
K9,KRI,Krylo Airlines,Krylo,Russia
GW,KIL,Kuban Airlines,AIR KUBAN,Russia
VD,KPA,Kunpeng Airlines,KUNPENG,China
KU,KAC,Kuwait Airways,KUWAITI,Kuwait
GO,KZU,Kuzu Airlines Cargo,KUZU CARGO,Turkey
N5,KGZ,Kyrgyz Airlines,BERMET,Kyrgyzstan
QH,LYN,Kyrgyzstan,ALTYN AVIA,Kyrgyzstan
R8,KGA,Kyrgyzstan Airlines,KYRGYZ,Kyrgyzstan
FK,KEW,Keewatin Air,BLIZZARD,Canada
YQ,LCT,TAR Aerolineas,TAR,Mexico
JF,LAB,L.A.B. Flying Service,LAB,United States
LR,LRC,LACSA,LACSA,Costa Rica
KG,BNX,LAI - Línea Aérea IAACA,AIR BARINAS,Venezuela
LA,LAN,LATAM Chile,LAN CHILE,Chile
"4M",DSM,LATAM Argentina,LAN AR,Argentina
UC,LCO,LATAM Cargo Chile,LAN CARGO,Chile
PZ,LAP,LATAM Paraguay,PARAGUAYA,Paraguay
LU,LXP,LATAM Express,LANEX,Chile
LP,LPE,LATAM Peru,LANPERU,Peru
NI,"",LANICA,"",Nicaragua
L5,"",Línea Aérea Cuencana,"",Ecuador
LO,LOT,LOT Polish Airlines,POLLOT,Poland
XO,LTE,LTE International Airways,FUN JET,Spain
L3,LTO,LTU Austria,BILLA TRANSPORT,Austria
LT,LTU,LTU International,LTU,Germany
N6,JEV,Lagun Air,"",Spain
IK,LKN,Lankair,Lankair,Sri Lanka
QL,RLN,Lankan Cargo,AERO LANKA,Sri Lanka
QV,LAO,Lao Airlines,LAO,Lao People's Democratic Republic
L7,LPN,Laoag International Airlines,LAOAG AIR,Philippines
NG,LDA,Lauda Air,LAUDA AIR,Austria
OE[31],LDM,LaudaMotion,LAUDA MOTION,Austria
LQ,LAQ,Lebanese Air Transport,LAT,Lebanon
LI,LIA,Leeward Islands Air Transport,LIAT,Antigua and Barbuda
LV,LVL,Level,LEVEL,Spain and France
LN,LAA,Libyan Arab Airlines,LIBAIR,Libya
L7,LNP,Línea Aérea SAPSA,SAPSA,Chile
QL,LER,Línea Aérea de Servicio Ejecutivo Regional,LASER,Venezuela
ZE,LCD,Líneas Aéreas Azteca,LINEAS AZTECA,Mexico
TM,LAM,Linhas Aéreas de Moçambique,MOZAMBIQUE,Mozambique
JT,LNI,Lion Air,LION INTER,Indonesia
LM,LVG,Livingston Energy Flight,LIVINGSTON,Italy
LB,LLB,Lloyd Aéreo Boliviano,LLOYDAEREO,Bolivia
LM,LOG,Loganair,LOGAN,United Kingdom
LH,DLH,Lufthansa,LUFTHANSA,Germany
LH,GEC,Lufthansa Cargo,LUFTHANSA CARGO,Germany
CL,CLH,Lufthansa CityLine,HANSALINE,Germany
L1,"",Lufthansa Systems,"",Germany
L5,LTR,Lufttransport,LUFT TRANSPORT,Norway
LG,LGL,Luxair,LUXAIR,Luxembourg
"5V",UKW,Lviv Airlines,UKRAINE WEST,Ukraine
L2,LYC,Lynden Air Cargo,LYNDEN,United States
L4,SSX,Lynx Aviation,SHASTA,United States
Z8,AZN,Línea Aérea Amaszonas,"",Bolivia
MJ,LPR,Líneas Aéreas Privadas Argentinas,LAPA,Argentina
LT,SNG,LongJiang Airlines,SNOW EAGLE,China
LJ,JNA,Jin Air,JIN AIR,South Korea
Q2,DQA,Maldivian (airline),ISLAND AVIATION,Maldives
WD,MWM,Modern Transporte Aereo De Carga,MODERNAIR,Brazil
OD,MXD,Malindo Airways,MALINDO EXPRESS,Malaysia
AQ,MPJ,MAP-Management and Planung,MAPJET,Austria
M7,MAA,MasAir,MAS CARGA,Mexico
MH,MWG,MASwings,MASWINGS,Malaysia
IN,MAK,MAT Macedonian Airlines,MAKAVIO,Macedonia
OM,MGL,MIAT Mongolian Airlines,MONGOL AIR,Mongolia
MB,MNB,MNG Airlines,BLACK SEA,Turkey
CC,MCK,Macair Airlines,"",Australia
DM,"",Maersk,"",Denmark
W5,IRM,Mahan Air,MAHAN AIR,Iran
M2,MZS,Mahfooz Aviation,MAHFOOZ,Gambia
MH,MAS,Malaysia Airlines,MALAYSIAN,Malaysia
DB,MLT,Maleth-Aero,"",Malta
TF,SCW,Malmö Aviation,SCANWING,Sweden
R5,MAC,Malta Air Charter,MALTA CHARTER,Malta
MA,MAH,Malév Hungarian Airlines,MALEV,Hungary
RI,MDL,Mandala Airlines,MANDALA,Indonesia
AE,MDA,Mandarin Airlines,MANDARIN,Taiwan
JE,MNO,Mango,TULCA,South Africa
"6V",MRW,Mars RK,AVIAMARS,Ukraine
M7,MSL,Marsland Aviation,MARSLANDAIR,Sudan
MP,MPH,Martinair,MARTINAIR,Netherlands
Q4,"",Mastertop Linhas Aéreas,"",Brazil
H5,MVL,Mavial Magadan Airlines,Mavial,Russia
"8M",MXL,Maxair,MAXAIR,Sweden
MY,MXJ,Maxjet Airways,MAX-JET,United States
MW,MYD,Maya Island Air,MYLAND,Belize
"7M",MYI,Mayair,MAYAIR,Mexico
M8,MKN,Mekong Airlines,MEKONG AIRLINES,Cambodia
IM,MNJ,Menajet,MENAJET,Lebanon
IG,ISS,Meridiana,MERIDIANA,Italy
MZ,MNA,Merpati Nusantara Airlines,MERPATI,Indonesia
YV,ASH,Mesa Airlines,AIR SHUTTLE,United States
XJ,MES,Mesaba Airlines,MESABA,United States
MX,MXA,Mexicana de Aviación,MEXICANA,Mexico
LL,BSK,Miami Air International,BISCAYNE,United States
ME,MEA,Middle East Airlines,CEDAR JET,Lebanon
JI,MDW,Midway Airlines (1993–2003),MIDWAY,United States
ML,MDW,Midway Airlines (1976–1991),MIDWAY,United States
YX,MEP,Midwest Airlines,MIDEX,United States
MY,MWA,Midwest Airlines (Egypt),"",Egypt
MJ,MLR,Mihin Lanka,MIHIN LANKA,Sri Lanka
M4,MSA,Mistral Air,AIRMERCI,Italy
MW,MUL,Mokulele Airlines,MUKULELE,United States
"2M",MDV,Moldavian Airlines,MOLDAVIAN,Moldova
ZB,MON,Monarch Airlines,MONARCH,United Kingdom
"8I","",Myway Airlines,"",Italy
YM,MGX,Montenegro Airlines,MONTENEGRO,Montenegro
"5M",MNT,Montserrat Airways,MONTSERRAT,Montserrat
"3R",GAI,Moskovia Airlines,GROMOV AIRLINE,Russia
M9,MSI,Motor Sich,MOTOR SICH,Ukraine
NM,NZM,Mount Cook Airline,MOUNTCOOK,New Zealand
N4,MTC,Mountain Air Company,MOUNTAIN LEONE,Sierra Leone
VZ,MYT,MyTravel Airways,KESTREL,United Kingdom
UB,UBA,Myanma Airways,UNIONAIR,Myanmar
"8M",MMA,Myanmar Airways International,MYANMAR,Myanmar
M2,MHV,MHS Aviation GmbH,SNOWCAP,Germany
"6N",NIN,Niger Airlines,NIGER AIRLINES,Niger
N5,FEY,Fly Easy,FLYEASY,India
DV,ACK,Nantucket Airlines,ACK AIR,United States
P9,"",Nas Air,"",Mali
UE,NAS,Nasair,NASAIRWAYS,Eritrea
N4,NCN,National Airlines,"",Chile
N7,ROK,National Airlines,RED ROCK,United States
NA,NAL,National Airlines,NATIONAL,United States
N8,NCR,National Air Cargo dba National Airlines,NATIONAL CARGO,United States
IN,NIH,NAM Air,NAM,Indonesia
"9O","",National Airways Cameroon,"",Cameroon
NC,NJS,National Jet Systems,NATIONAL JET,Australia
CE,NTW,Nationwide Airlines,NATIONWIDE,South Africa
"1N","",Navitaire,"",United States
RA,RNA,Nepal Airlines,ROYAL NEPAL,Nepal
NO,NOS,Neos,MOONFLOWER,Italy
